id,title,context,question,text
5acfab8877cf76001a6857dc,Mechanics_01,Question – Answer 1,How good is the answer?,"Question 1: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5726b836dd62a815002e8e10,Mechanics_02,Question – Answer 2,How good is the answer?,"Question 2: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5726769ff1498d1400e8e08a,Mechanics_03,Question – Answer 3,How good is the answer?,"Question 3: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5ad49b3eba00c4001a268d60,Mechanics_04,Question – Answer 4,How good is the answer?,"Question 4: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5a873f7f1d3cee001a6a113d,Mechanics_05,Question – Answer 5,How good is the answer?,"Question 5: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5ace451232bba1001ae4a144,Mechanics_06,Question – Answer 6,How good is the answer?,"Question 6: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5a57b8de770dc0001aeefcf0,Mechanics_07,Question – Answer 7,How good is the answer?,"Question 7: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5a1cbf334ea40d0018b06ef5,Mechanics_08,Question – Answer 8,How good is the answer?,"Question 8: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
56f9e38a9e9bad19000a0b39,Mechanics_09,Question – Answer 9,How good is the answer?,"Question 9: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
572a437f1d046914007798ad,Mechanics_10,Question – Answer 10,How good is the answer?,"Question 10: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
